01-26 094712.808  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=1, pd=3.04, defocus(um)=195, conf=332, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094712.843  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=2, pd=2.45, defocus(um)=157, conf=342, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094712.867  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=3, pd=2.67, defocus(um)=171, conf=330, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094712.903  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=4, pd=2.93, defocus(um)=188, conf=317, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094712.937  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=5, pd=2.92, defocus(um)=188, conf=321, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094712.971  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=6, pd=2.88, defocus(um)=185, conf=324, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094713.002  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=7, pd=3.02, defocus(um)=193, conf=314, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094713.036  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=8, pd=2.37, defocus(um)=151, conf=309, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094713.069  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=9, pd=3.02, defocus(um)=193, conf=297, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.102  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=10, pd=3.24, defocus(um)=207, conf=317, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.136  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=11, pd=3.77, defocus(um)=242, conf=327, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.170  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=12, pd=3.39, defocus(um)=218, conf=331, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.203  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=7 index=13, pd=2.56, defocus(um)=164, conf=353, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.236  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=87 index=14, pd=2.97, defocus(um)=192, conf=349, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.269  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=167 index=15, pd=2.62, defocus(um)=167, conf=343, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.301  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=247 index=16, pd=0.67, defocus(um)=41, conf=479, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.336  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=327 index=17, pd=-0.69, defocus(um)=-43, conf=442, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.370  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=399 index=18, pd=-0.81, defocus(um)=-52, conf=492, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.402  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=399 index=19, pd=-1.10, defocus(um)=-69, conf=486, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.438  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=399 index=20, pd=-1.38, defocus(um)=-89, conf=475, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
