01-19 06:33:31.374   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=259 index=23, pd=-21.42, defocus(um)=-142, conf=1012, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:31.444   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=251 index=24, pd=-21.20, defocus(um)=-141, conf=1019, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:31.491   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=251 index=25, pd=-20.11, defocus(um)=-134, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:31.543   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=251 index=26, pd=-19.84, defocus(um)=-131, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:31.588   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=243 index=27, pd=-19.67, defocus(um)=-130, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:31.637   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=243 index=28, pd=-19.23, defocus(um)=-127, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:31.693   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=243 index=29, pd=-18.43, defocus(um)=-122, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:38.849   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=186 index=1, pd=-6.82, defocus(um)=-45, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-19 06:33:38.898   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=186 index=2, pd=-6.87, defocus(um)=-45, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:38.949   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=186 index=3, pd=-6.88, defocus(um)=-45, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.000   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=186 index=4, pd=-6.89, defocus(um)=-45, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.062   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=266 index=5, pd=-6.86, defocus(um)=-45, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.114   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=299 index=6, pd=-14.73, defocus(um)=-97, conf=859, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.163   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=299 index=7, pd=-26.95, defocus(um)=-179, conf=825, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.217   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=299 index=8, pd=-28.00, defocus(um)=-186, conf=767, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.266   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=291 index=9, pd=-28.60, defocus(um)=-190, conf=737, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.319   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=291 index=10, pd=-29.45, defocus(um)=-196, conf=717, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.368   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=291 index=11, pd=-29.39, defocus(um)=-195, conf=721, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.409   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=283 index=12, pd=-29.37, defocus(um)=-195, conf=720, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.469   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=283 index=13, pd=-28.95, defocus(um)=-192, conf=736, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.526   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=283 index=14, pd=-28.82, defocus(um)=-192, conf=753, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.573   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=275 index=15, pd=-28.68, defocus(um)=-190, conf=760, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.623   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=275 index=16, pd=-28.07, defocus(um)=-186, conf=805, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.679   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=275 index=17, pd=-27.56, defocus(um)=-183, conf=832, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.725   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=267 index=18, pd=-27.31, defocus(um)=-181, conf=839, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
