07-03 00:19:18.365  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=1, pd=-0.69, defocus(um)=-26, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
07-03 00:19:18.395  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=2, pd=-0.68, defocus(um)=-24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
07-03 00:19:18.431  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=3, pd=-0.69, defocus(um)=-26, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
07-03 00:19:18.466  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=4, pd=-0.69, defocus(um)=-26, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.497  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=5, pd=-0.69, defocus(um)=-24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.533  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=6, pd=-0.68, defocus(um)=-24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.565  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=7, pd=-0.69, defocus(um)=-24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.598  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=8, pd=-0.67, defocus(um)=-24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.634  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=345 index=9, pd=-0.66, defocus(um)=-24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.666  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=399 index=10, pd=-1.48, defocus(um)=-56, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:18.699  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=399 index=11, pd=-1.74, defocus(um)=-65, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
07-03 00:19:18.728  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=399 index=12, pd=-1.90, defocus(um)=-72, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
07-03 00:19:18.764  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=391 index=13, pd=-1.83, defocus(um)=-69, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
