04-29 02:52:00.905   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 0, H1 392130912.000000, H1_norm 36684.898438, H2_norm 0.000000 H2_norm 0.000000, V 314438560.000000, V_norm 29323.537109, HV 353284736.000000, HV_norm 33004.218750, LensPosition 335
04-29 02:52:01.041   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 1, H1 411869504.000000, H1_norm 38489.375000, H2_norm 0.000000 H2_norm 0.000000, V 325313184.000000, V_norm 30314.984375, HV 368591360.000000, HV_norm 34402.179688, LensPosition 333
04-29 02:52:01.166   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 2, H1 424728224.000000, H1_norm 39711.890625, H2_norm 0.000000 H2_norm 0.000000, V 332015680.000000, V_norm 30955.830078, HV 378371968.000000, HV_norm 35333.859375, LensPosition 331
04-29 02:52:01.280   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 3, H1 435296096.000000, H1_norm 40918.019531, H2_norm 0.000000 H2_norm 0.000000, V 336730016.000000, V_norm 31560.691406, HV 386013056.000000, HV_norm 36239.355469, LensPosition 329
04-29 02:52:01.427   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 4, H1 449259744.000000, H1_norm 42221.136719, H2_norm 0.000000 H2_norm 0.000000, V 343734688.000000, V_norm 32217.539062, HV 396497216.000000, HV_norm 37219.335938, LensPosition 327
04-29 02:52:01.534   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 5, H1 460949344.000000, H1_norm 43401.488281, H2_norm 0.000000 H2_norm 0.000000, V 348943584.000000, V_norm 32780.488281, HV 404946464.000000, HV_norm 38090.988281, LensPosition 325
04-29 02:52:01.661   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 6, H1 471291136.000000, H1_norm 44305.351562, H2_norm 0.000000 H2_norm 0.000000, V 354376576.000000, V_norm 33228.207031, HV 412833856.000000, HV_norm 38766.781250, LensPosition 323
04-29 02:52:01.792   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 7, H1 478839648.000000, H1_norm 45192.484375, H2_norm 0.000000 H2_norm 0.000000, V 356896768.000000, V_norm 33603.257812, HV 417868224.000000, HV_norm 39397.871094, LensPosition 321
04-29 02:52:01.926   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 8, H1 489691872.000000, H1_norm 46181.847656, H2_norm 0.000000 H2_norm 0.000000, V 363166592.000000, V_norm 34176.527344, HV 426429248.000000, HV_norm 40179.187500, LensPosition 319
04-29 02:52:02.038   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 9, H1 498989280.000000, H1_norm 47104.515625, H2_norm 0.000000 H2_norm 0.000000, V 367014624.000000, V_norm 34574.847656, HV 433001952.000000, HV_norm 40839.679688, LensPosition 317
04-29 02:52:02.184   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 10, H1 514383232.000000, H1_norm 47897.281250, H2_norm 0.000000 H2_norm 0.000000, V 377145472.000000, V_norm 35044.699219, HV 445764352.000000, HV_norm 41470.992188, LensPosition 315
04-29 02:52:02.294   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 11, H1 514334400.000000, H1_norm 48510.406250, H2_norm 0.000000 H2_norm 0.000000, V 375482688.000000, V_norm 35336.089844, HV 444908544.000000, HV_norm 41923.250000, LensPosition 313
04-29 02:52:02.434   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 12, H1 527769184.000000, H1_norm 49304.820312, H2_norm 0.000000 H2_norm 0.000000, V 383472512.000000, V_norm 35740.992188, HV 455620864.000000, HV_norm 42522.906250, LensPosition 311
04-29 02:52:02.575   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 13, H1 532234848.000000, H1_norm 49946.296875, H2_norm 0.000000 H2_norm 0.000000, V 384536320.000000, V_norm 36012.867188, HV 458385600.000000, HV_norm 42979.582031, LensPosition 309
04-29 02:52:02.669   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 14, H1 535237056.000000, H1_norm 50507.488281, H2_norm 0.000000 H2_norm 0.000000, V 387519424.000000, V_norm 36471.769531, HV 461378240.000000, HV_norm 43489.628906, LensPosition 307
04-29 02:52:02.799   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 15, H1 541469824.000000, H1_norm 50901.562500, H2_norm 0.000000 H2_norm 0.000000, V 390566656.000000, V_norm 36637.640625, HV 466018240.000000, HV_norm 43769.601562, LensPosition 305
04-29 02:52:02.931   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 16, H1 548659520.000000, H1_norm 51466.847656, H2_norm 0.000000 H2_norm 0.000000, V 395040608.000000, V_norm 36976.050781, HV 471850048.000000, HV_norm 44221.449219, LensPosition 303
04-29 02:52:03.047   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 17, H1 548705536.000000, H1_norm 51695.472656, H2_norm 0.000000 H2_norm 0.000000, V 395501248.000000, V_norm 37175.363281, HV 472103392.000000, HV_norm 44435.417969, LensPosition 301
04-29 02:52:03.184   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 18, H1 551999680.000000, H1_norm 51902.445312, H2_norm 0.000000 H2_norm 0.000000, V 396739712.000000, V_norm 37210.621094, HV 474369696.000000, HV_norm 44556.531250, LensPosition 299
04-29 02:52:03.311   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 19, H1 555894528.000000, H1_norm 52105.035156, H2_norm 0.000000 H2_norm 0.000000, V 399372992.000000, V_norm 37349.324219, HV 477633760.000000, HV_norm 44727.179688, LensPosition 297
04-29 02:52:03.429   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 20, H1 555455552.000000, H1_norm 52087.570312, H2_norm 0.000000 H2_norm 0.000000, V 399305472.000000, V_norm 37366.519531, HV 477380512.000000, HV_norm 44727.046875, LensPosition 295
04-29 02:52:03.553   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 21, H1 548223680.000000, H1_norm 52038.785156, H2_norm 0.000000 H2_norm 0.000000, V 394166304.000000, V_norm 37319.625000, HV 471195008.000000, HV_norm 44679.203125, LensPosition 293
04-29 02:52:03.680   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 22, H1 551797632.000000, H1_norm 51888.351562, H2_norm 0.000000 H2_norm 0.000000, V 395411776.000000, V_norm 37093.945312, HV 473604704.000000, HV_norm 44491.148438, LensPosition 291
04-29 02:52:03.806   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 23, H1 563954816.000000, H1_norm 52368.457031, H2_norm 0.000000 H2_norm 0.000000, V 404641184.000000, V_norm 37482.726562, HV 484297984.000000, HV_norm 44925.593750, LensPosition 289
